, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960/12/31,59.71646763,89.5205,
1961/12/31,50.05686896,75.8058,-27.27
1962/12/31,47.20935901,70.9094,-5.58
1963/12/31,50.7067999,74.3136,10.3
1964/12/31,59.70834349,85.4986,18.18
1965/12/31,70.43626615,98.4868,16.95
1966/12/31,76.72028597,104.3246,10.65
1967/12/31,72.88163133,96.5895,-5.77
1968/12/31,70.84653506,91.4727,-4.1
1969/12/31,79.70590625,100.1299,16.94
1970/12/31,92.60297343,113.163,19.3
1971/12/31,99.80095865,118.6546,7.06
1972/12/31,113.6875863,131.8836,3.81
1973/12/31,138.5442847,157.0904,7.76
1974/12/31,144.1821334,160.1401,2.31
1975/12/31,163.4315518,178.3418,8.72
1976/12/31,153.9404553,165.4055,-1.57
1977/12/31,174.9380988,185.4228,7.57
1978/12/31,149.5407528,156.3964,11.326
1979/12/31,178.2805944,183.9832,7.5913
1980/12/31,191.1492116,194.8047,7.8341
1981/12/31,195.8663824,197.0715,5.1128
1982/12/31,205.0896999,203.3349,9.0171
1983/12/31,230.6867472,225.4319,10.7702
1984/12/31,259.946511,250.714,15.1915
1985/12/31,309.4880281,294.4588,13.4307
1986/12/31,300.7581001,281.9281,8.95
1987/12/31,272.9729748,251.812,11.6574
1988/12/31,312.3536312,283.5377,11.2226
1989/12/31,347.7680513,310.8819,4.2063
1990/12/31,360.8579126,317.8847,3.9203
1991/12/31,383.3733181,333.1421,9.2628
1992/12/31,426.9157127,366.4607,14.2245
1993/12/31,444.7312824,377.3898,13.8837
1994/12/31,564.32467,473.4923,13.0368
1995/12/31,734.5478982,609.6567,10.954
1996/12/31,863.7467175,709.4138,9.9226
1997/12/31,961.603953,781.7442,9.2368
1998/12/31,1029.043098,828.5805,7.846
1999/12/31,1093.997267,873.2871,7.6617
2000/12/31,1211.34687,959.3725,8.4901
2001/12/31,1339.395719,1053.1082,8.3357
2002/12/31,1470.550015,1148.5083,9.1336
2003/12/31,1660.287966,1288.6433,10.038
2004/12/31,1955.347005,1508.6681,10.1136
2005/12/31,2285.965892,1753.4178,11.3946
2006/12/31,2752.131773,2099.2294,12.721
2007/12/31,3550.342737,2693.9701,14.2309
2008/12/31,4594.307033,3468.3046,9.6507
2009/12/31,5101.703073,3832.2364,9.3987
2010/12/31,6087.163875,4550.4531,10.6359
2011/12/31,7551.500124,5618.1323,9.5508
2012/12/31,8532.229987,6316.9183,7.8637
2013/12/31,9570.406236,7050.6463,7.7662
2014/12/31,10475.68292,7678.5995,7.4258
2015/12/31,11061.55308,8066.9426,7.0413
2016/12/31,11233.27654,8147.9377,6.8488
2017/12/31,12310.40937,8879.4387,6.9472
2018/12/31,13894.81755,9976.6771,6.7498
2019/12/31,14342.90301,10261.6792,6.1101
